#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.046   -102.256   -118.029    -20.492    180.766    101.797
      0.200   -102.602    -83.833   -107.366    -10.635    187.683    111.448
      0.300   -103.046    -64.729    -95.677      1.758    194.402    122.348
      0.400   -102.082    -44.989    -82.828     17.530    200.399    134.630
      0.500    -99.315    -24.735    -68.682     37.800    204.687    148.285
      0.600    -94.231     -4.228    -53.123     63.891    205.450    162.903
      0.700    -86.193     16.023    -36.122     96.857    199.569    177.117
      0.800    -74.552     35.130    -17.878    135.962    182.562    187.749
      0.900    -58.955     51.793      0.992    175.979    150.710    189.656
      1.000    -39.821     64.659     19.365    206.708    106.602    177.802
      1.100    -18.435     72.984     36.035    221.017     59.906    155.605
      1.200      3.634     76.925     50.271    220.353     18.903    129.116
      1.300     25.151     77.189     61.872    209.988    -13.624    102.896
      1.400     45.371     74.593     70.963    194.418    -38.292     78.927
      1.500     63.912     69.845     77.793    176.395    -56.659     57.672
      1.600     80.601     63.503     82.625    157.393    -70.192     38.977
      1.700     95.378     55.992     85.700    138.152    -80.021     22.511
      1.800    108.237     47.643     87.222    119.021    -86.971      7.937
      1.900    119.195     38.713     87.367    100.145    -91.623     -5.041
      2.000    128.281     29.412     86.282     81.565    -94.391    -16.663
      2.100    135.523     19.914     84.093     63.271    -95.566    -27.122
      2.200    140.947     10.368     80.908     45.222    -95.355    -36.569
      2.300    144.576      0.905     76.823     27.361    -93.902    -45.127
      2.400    146.425     -8.355     71.922      9.613    -91.305    -52.899
      2.500    146.500    -17.301     66.278     -8.119    -87.619    -59.971
      2.600    144.796    -25.825     59.959    -25.958    -82.851    -66.413
      2.700    141.295    -33.815     53.025    -44.065    -76.950    -72.278
      2.800    135.960    -41.152     45.531    -62.637    -69.788    -77.591
      2.900    128.732    -47.698     37.535    -81.912    -61.137    -82.332
      3.000    119.528    -53.286     29.097   -102.174    -50.628    -86.421
      3.100    108.231    -57.702     20.293   -123.758    -37.681    -89.668
      3.200     94.691    -60.655     11.225   -147.044    -21.386    -91.702
      3.300     78.718    -61.737      2.050   -172.422     -0.262    -91.796
      3.400     60.095    -60.341     -6.932   -200.043     28.184    -87.840
      3.500     38.650    -55.523    -15.167   -228.847     68.178    -76.861
      3.600     14.554    -45.781    -21.568   -253.079    126.657    -51.161
      3.700    -10.530    -29.101    -23.898   -248.602    206.958      4.576
      3.800    -31.332     -5.691    -19.447   -167.431    261.231     84.443
