#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.051   -102.226   -118.013    -20.588    181.354    102.112
      0.200   -102.620    -83.712   -107.300    -10.798    188.933    112.139
      0.300   -103.081    -64.446    -95.518      1.580    196.394    123.496
      0.400   -102.130    -44.465    -82.527     17.433    203.217    136.338
      0.500    -99.362    -23.885    -68.176     37.939    208.389    150.673
      0.600    -94.241     -2.965    -52.339     64.486    210.012    166.074
      0.700    -86.111     17.776    -34.982     98.111    204.803    181.066
      0.800    -74.318     37.425    -16.318    137.750    188.165    192.219
      0.900    -58.557     54.675      3.007    177.460    156.846    194.284
      1.000    -39.336     68.252     21.875    206.956    114.685    183.058
      1.100    -17.955     77.560     39.168    220.666     71.473    162.804
      1.200      4.134     82.847     54.276    221.118     34.282    139.367
      1.300     25.862     84.807     67.075    213.439      4.913    116.605
      1.400     46.612     84.175     77.706    201.577    -17.547     96.022
      1.500     66.084     81.568     86.402    187.846    -34.606     77.885
      1.600     84.149     77.458     93.395    173.465    -47.592     61.994
      1.700    100.774     72.202     98.897    159.041    -57.515     48.028
      1.800    115.970     66.071    103.082    144.862    -65.106     35.673
      1.900    129.765     59.272    106.098    131.047    -70.889     24.661
      2.000    142.199     51.965    108.070    117.633    -75.241     14.770
      2.100    153.311     44.281    109.099    104.610    -78.437      5.822
      2.200    163.139     36.326    109.274     91.952    -80.676     -2.325
      2.300    171.718     28.186    108.669     79.622    -82.109     -9.785
      2.400    179.078     19.939    107.347     67.578    -82.846    -16.652
      2.500    185.246     11.648    105.364     55.779    -82.970    -23.000
      2.600    190.244      3.372    102.770     44.186    -82.545    -28.890
      2.700    194.091     -4.836     99.607     32.758    -81.616    -34.372
      2.800    196.802    -12.928     95.914     21.457    -80.218    -39.490
      2.900    198.387    -20.857     91.725     10.241    -78.375    -44.279
      3.000    198.852    -28.581     87.073     -0.931    -76.101    -48.773
      3.100    198.201    -36.056     81.984    -12.108    -73.400    -52.997
      3.200    196.428    -43.239     76.486    -23.343    -70.262    -56.976
      3.300    193.526    -50.086     70.600    -34.694    -66.669    -60.727
      3.400    189.480    -56.548     64.351    -46.228    -62.581    -64.263
      3.500    184.268    -62.575     57.758    -58.021    -57.944    -67.588
      3.600    177.859    -68.106     50.844    -70.156    -52.679    -70.697
      3.700    170.214    -73.074     43.631    -82.731    -46.676    -73.571
      3.800    161.285    -77.397     36.143    -95.854    -39.789    -76.178
      3.900    151.010    -80.977     28.412   -109.652    -31.817    -78.455
      4.000    139.314    -83.692     20.474   -124.270    -22.482    -80.305
      4.100    126.107    -85.386     12.380   -139.872    -11.397    -81.571
      4.200    111.281    -85.856      4.202   -156.638      2.000    -81.993
      4.300     94.713    -84.829     -3.950   -174.731     18.539    -81.036
      4.400     76.268    -81.929    -11.893   -194.173     39.458    -77.830
      4.500     55.828    -76.621    -19.337   -214.609     66.699    -71.036
      4.600     33.378    -68.125    -25.781   -234.410    103.231    -57.845
      4.700      9.258    -55.326    -30.314   -247.976    152.740    -32.824
      4.800    -15.090    -36.984    -31.349   -238.979    214.107     12.115
      4.900    -36.164    -13.260    -27.106   -182.503    260.365     72.765
      5.000    -50.279     12.555    -17.754    -99.809    255.940    114.259
      5.100    -56.960     36.448     -5.677    -33.806    221.921    127.283
      5.200    -58.105     56.663      6.900     10.906    182.373    124.253
      5.300    -55.519     73.029     18.860     40.812    144.960    114.957
      5.400    -50.415     85.817     29.760     61.273    110.790    103.039
      5.500    -43.581     95.333     39.404     75.412     79.530     89.837
      5.600    -35.559    101.839     47.689     85.029     50.604     75.877
      5.700    -26.748    105.544     54.550     91.177     23.481     61.342
      5.800    -17.465    106.604     59.930     94.484     -2.284     46.257
      5.900     -7.975    105.135     63.771     95.320    -27.084     30.552
      6.000      1.484    101.216     66.002     93.869    -51.308     14.065
      6.100     10.683     94.881     66.530     90.103    -75.392     -3.502
      6.200     19.373     86.120     65.223     83.697    -99.816    -22.628
      6.300     27.251     74.876     61.890     73.866   -125.076    -44.036
      6.400     33.897     61.041     56.248     59.051   -151.614    -68.812
      6.500     38.658     44.482     47.876     36.164   -179.567    -98.625
      6.600     40.397     25.123     36.144     -1.375   -207.613   -136.012
      6.700     36.892      3.382     20.175    -68.727   -227.218   -183.371
      6.800     23.954    -17.653     -0.245   -190.035   -193.477   -225.021
      6.900      1.905    -30.838    -19.737   -250.953    -70.215   -164.831
      7.000    -21.760    -34.003    -32.853   -222.346      6.903    -97.480
      7.100    -41.754    -31.280    -40.153   -177.522     47.555    -48.514
      7.200    -57.221    -25.401    -43.173   -131.834     70.039    -11.894
      7.300    -68.175    -17.789    -42.917    -87.232     82.196     17.020
      7.400    -74.700     -9.312    -40.028    -43.282     87.352     40.763
      7.500    -76.820     -0.596    -34.952      0.898     86.956     60.759
      7.600    -74.441      7.826    -28.014     46.674     81.492     77.982
      7.700    -67.281     15.407    -19.465     96.529     70.126     93.015
      7.800    -54.726     21.378     -9.547    154.575     49.298    105.338
      7.900    -35.616     24.259      1.265    227.612      8.313    110.895
      8.000     -8.384     20.266     10.626    317.027    -88.178     76.337
      8.100     20.234      4.213     11.062    255.334   -232.877    -67.614
      8.200     38.922    -17.393      2.526    118.441   -199.246   -103.113
      8.300     46.866    -34.789     -7.359     40.432   -148.670    -94.591
      8.400     48.356    -47.293    -16.024    -10.634   -101.400    -78.708
      8.500     45.424    -55.190    -22.938    -47.998    -56.543    -59.576
      8.600     39.188    -58.632    -27.802    -76.730    -12.309    -37.707
      8.700     30.380    -57.602    -30.330    -99.422     32.910    -12.854
      8.800     19.505    -51.831    -30.135   -118.092     82.518     16.770
      8.900      7.010    -40.531    -26.458   -131.809    143.486     56.755
      9.000     -6.023    -21.789    -17.444   -128.841    231.336    123.542
      9.100    -11.705      8.219      3.224     15.191    368.839    289.819
      9.200     -7.948     39.418     28.131     59.951    255.136    208.306
      9.300     -1.744     62.054     46.778     64.135    197.581    164.632
      9.400      4.591     79.920     61.769     62.557    159.743    135.186
      9.500     10.692     94.479     74.169     59.464    131.445    112.815
      9.600     16.458    106.483     84.538     55.869    108.634     94.573
      9.700     21.856    116.381     93.216     52.082     89.314     78.980
      9.800     26.870    124.465    100.424     48.205     72.362     65.191
      9.900     31.494    130.937    106.318     44.258     57.084     52.674
     10.000     35.718    135.942    111.005     40.231     43.020     41.074
     10.100     39.534    139.586    114.565     36.089     29.851     30.138
