#   T (Gyrs)         Lx         Ly         Lz
      0.000     -7.960      1.648    -13.521
      0.014     -8.154      1.645    -13.372
      0.029     -8.347      1.640    -13.229
      0.043     -8.545      1.633    -13.092
      0.057     -8.751      1.624    -12.964
      0.071     -8.954      1.613    -12.839
      0.086     -9.161      1.599    -12.721
      0.100     -9.373      1.584    -12.606
      0.114     -9.592      1.567    -12.498
      0.129     -9.820      1.548    -12.396
      0.143    -10.052      1.528    -12.300
      0.157    -10.291      1.505    -12.205
      0.171    -10.539      1.481    -12.114
      0.186    -10.790      1.455    -12.029
      0.200    -11.047      1.427    -11.947
      0.214    -11.312      1.398    -11.873
      0.229    -11.581      1.366    -11.801
      0.243    -11.870      1.333    -11.737
      0.257    -12.159      1.299    -11.673
      0.271    -12.457      1.262    -11.613
      0.286    -12.762      1.224    -11.555
      0.300    -13.084      1.184    -11.503
      0.314    -13.416      1.142    -11.450
      0.329    -13.754      1.099    -11.399
      0.343    -14.103      1.055    -11.351
      0.357    -14.460      1.009    -11.301
      0.371    -14.832      0.962    -11.255
      0.386    -15.204      0.913    -11.199
      0.400    -15.587      0.863    -11.140
      0.414    -15.979      0.811    -11.082
      0.429    -16.365      0.759    -11.022
      0.443    -16.755      0.706    -10.960
      0.457    -17.155      0.652    -10.891
      0.471    -17.552      0.598    -10.818
      0.486    -17.947      0.543    -10.742
      0.500    -18.334      0.488    -10.659
      0.514    -18.708      0.434    -10.570
      0.529    -19.076      0.380    -10.473
      0.543    -19.427      0.328    -10.370
      0.557    -19.751      0.277    -10.257
      0.571    -20.049      0.228    -10.137
      0.586    -20.326      0.181    -10.003
      0.600    -20.570      0.137     -9.861
      0.614    -20.779      0.096     -9.711
      0.629    -20.947      0.059     -9.555
      0.643    -21.080      0.025     -9.392
      0.657    -21.180     -0.006     -9.224
      0.671    -21.243     -0.032     -9.055
      0.686    -21.266     -0.054     -8.875
      0.700    -21.248     -0.072     -8.692
      0.714    -21.181     -0.087     -8.503
      0.729    -21.088     -0.097     -8.322
      0.743    -20.962     -0.103     -8.142
      0.757    -20.806     -0.105     -7.954
      0.771    -20.627     -0.104     -7.771
      0.786    -20.422     -0.100     -7.586
      0.800    -20.191     -0.092     -7.404
      0.814    -19.941     -0.081     -7.226
      0.829    -19.676     -0.069     -7.047
      0.843    -19.392     -0.054     -6.869
      0.857    -19.094     -0.038     -6.694
      0.871    -18.783     -0.020     -6.523
      0.886    -18.459     -0.003     -6.358
      0.900    -18.125      0.014     -6.195
      0.914    -17.788      0.030     -6.037
      0.929    -17.445      0.044     -5.886
      0.943    -17.098      0.054     -5.735
      0.957    -16.751      0.060     -5.588
      0.971    -16.401      0.060     -5.437
      0.986    -16.045      0.053     -5.300
      1.000    -15.695      0.041     -5.166
      1.014    -15.347      0.023     -5.036
      1.029    -14.992     -0.002     -4.908
      1.043    -14.640     -0.032     -4.781
      1.057    -14.288     -0.068     -4.659
      1.071    -13.942     -0.108     -4.539
      1.086    -13.593     -0.153     -4.425
      1.100    -13.249     -0.203     -4.315
      1.114    -12.909     -0.256     -4.208
      1.129    -12.576     -0.313     -4.105
      1.143    -12.241     -0.372     -4.005
      1.157    -11.914     -0.435     -3.907
      1.171    -11.592     -0.501     -3.813
      1.186    -11.277     -0.569     -3.721
      1.200    -10.964     -0.640     -3.633
      1.214    -10.654     -0.712     -3.546
      1.229    -10.350     -0.785     -3.462
      1.243    -10.051     -0.860     -3.381
      1.257     -9.758     -0.937     -3.303
      1.271     -9.468     -1.014     -3.228
      1.286     -9.183     -1.093     -3.157
      1.300     -8.902     -1.171     -3.087
      1.314     -8.628     -1.251     -3.020
      1.329     -8.360     -1.331     -2.955
      1.343     -8.093     -1.410     -2.892
      1.357     -7.832     -1.489     -2.832
      1.371     -7.577     -1.568     -2.774
      1.386     -7.327     -1.647     -2.719
      1.400     -7.084     -1.726     -2.666
      1.414     -6.843     -1.805     -2.615
      1.429     -6.606     -1.883     -2.566
      1.443     -6.373     -1.961     -2.518
      1.457     -6.146     -2.039     -2.469
      1.471     -5.922     -2.114     -2.427
      1.486     -5.702     -2.188     -2.386
      1.500     -5.486     -2.263     -2.346
      1.514     -5.279     -2.336     -2.316
      1.529     -5.079     -2.406     -2.283
      1.543     -4.881     -2.473     -2.254
      1.557     -4.687     -2.539     -2.226
      1.571     -4.500     -2.604     -2.201
      1.586     -4.316     -2.666     -2.180
      1.600     -4.136     -2.727     -2.160
      1.614     -3.960     -2.786     -2.142
      1.629     -3.788     -2.843     -2.127
      1.643     -3.620     -2.897     -2.114
      1.657     -3.457     -2.949     -2.103
      1.671     -3.297     -2.998     -2.095
      1.686     -3.141     -3.044     -2.088
      1.700     -2.988     -3.087     -2.084
      1.714     -2.840     -3.128     -2.082
      1.729     -2.694     -3.167     -2.082
      1.743     -2.555     -3.202     -2.089
      1.757     -2.416     -3.234     -2.092
      1.771     -2.284     -3.259     -2.098
      1.786     -2.155     -3.282     -2.107
      1.800     -2.031     -3.299     -2.120
      1.814     -1.913     -3.313     -2.135
      1.829     -1.800     -3.321     -2.152
      1.843     -1.694     -3.323     -2.172
      1.857     -1.596     -3.321     -2.194
      1.871     -1.507     -3.311     -2.216
      1.886     -1.425     -3.300     -2.239
      1.900     -1.349     -3.283     -2.263
      1.914     -1.283     -3.260     -2.287
      1.929     -1.228     -3.233     -2.306
      1.943     -1.180     -3.202     -2.320
      1.957     -1.145     -3.172     -2.331
      1.971     -1.119     -3.128     -2.336
      1.986     -1.101     -3.080     -2.331
      2.000     -1.087     -3.031     -2.320
      2.014     -1.085     -2.977     -2.303
      2.029     -1.092     -2.923     -2.272
      2.043     -1.095     -2.865     -2.238
      2.057     -1.101     -2.808     -2.199
      2.071     -1.111     -2.748     -2.153
      2.086     -1.116     -2.688     -2.101
      2.100     -1.127     -2.631     -2.038
      2.114     -1.139     -2.563     -1.976
      2.129     -1.148     -2.490     -1.912
      2.143     -1.155     -2.412     -1.846
      2.157     -1.161     -2.330     -1.777
      2.171     -1.164     -2.244     -1.709
      2.186     -1.166     -2.152     -1.640
      2.200     -1.165     -2.056     -1.570
      2.214     -1.163     -1.954     -1.500
      2.229     -1.159     -1.847     -1.432
      2.243     -1.154     -1.735     -1.364
      2.257     -1.147     -1.619     -1.297
      2.271     -1.139     -1.500     -1.230
      2.286     -1.130     -1.379     -1.166
      2.300     -1.120     -1.259     -1.102
      2.314     -1.109     -1.140     -1.041
      2.329     -1.096     -1.024     -0.980
      2.343     -1.083     -0.912     -0.922
      2.357     -1.068     -0.805     -0.865
      2.371     -1.052     -0.704     -0.810
      2.386     -1.036     -0.609     -0.756
      2.400     -1.019     -0.520     -0.705
      2.414     -1.002     -0.438     -0.655
      2.429     -0.983     -0.361     -0.607
      2.443     -0.965     -0.289     -0.561
      2.457     -0.948     -0.223     -0.517
      2.471     -0.931     -0.163     -0.474
