#   T (Gyrs)         Lx         Ly         Lz
      0.000      4.038      4.577    -13.296
      0.014     -5.367      5.550     -2.434
      0.029     -4.142      7.522     -7.205
      0.043      2.329      1.810     -9.425
      0.057     -9.017      9.866     -3.164
      0.071      0.472      2.644     -7.359
      0.086     -3.133      9.652     -6.436
      0.100     -4.901     -1.000     -3.342
      0.114     -0.778      9.870     -7.959
      0.129     -3.586      6.001     -7.875
      0.143     -2.372      2.734      0.134
      0.157     -0.910      8.158     -9.595
      0.171     -7.226      5.546     -5.992
      0.186      4.549      5.734     -3.995
      0.200     -5.293      8.046     -8.823
      0.214     -5.446      3.829     -3.984
      0.229      1.521     10.893     -8.869
      0.243     -3.310      7.149     -6.910
      0.257     -6.963     -0.971     -2.816
      0.271     -0.779      9.721     -7.377
      0.286     -6.970      5.978     -9.578
      0.300     -2.466      5.160     -2.120
      0.314     -1.195      9.308    -10.138
      0.329     -9.164      5.443     -6.549
      0.343      1.508      8.531     -3.733
      0.357     -3.809      7.291     -9.611
      0.371    -11.319      6.562     -1.347
      0.386     -2.914      6.343     -8.059
      0.400     -2.482     12.357    -10.060
      0.414     -7.002      2.444     -5.430
      0.429     -2.330      9.778     -5.273
      0.443     -6.210      4.783    -13.144
      0.457     -7.392      9.365     -4.171
      0.471      2.061      3.948     -7.142
      0.486     -6.910     10.934     -9.262
      0.500     -7.901      4.007     -3.977
      0.514     -0.733      7.832     -8.279
      0.529     -7.945     12.133     -8.203
      0.543     -4.881      0.108     -5.411
      0.557     -5.741     10.843     -5.800
      0.571     -8.375      5.275    -14.517
      0.586     -7.096     10.181     -5.878
      0.600     -0.257      2.797     -6.230
      0.614     -7.743     11.690     -8.646
      0.629    -11.105      4.556     -5.972
      0.643     -2.858      7.085     -6.828
      0.657     -7.617     14.533     -9.265
      0.671     -9.666      2.910     -7.186
      0.686     -6.447     10.443     -4.557
      0.700     -8.307      8.434    -11.029
      0.714     -8.963     10.095     -7.561
      0.729     -4.092     -0.111     -3.675
      0.743     -8.283      9.943     -8.226
      0.757    -13.412      5.555     -6.676
      0.771     -4.955      4.145     -5.974
      0.786     -8.398     14.206     -8.286
      0.800    -12.081      1.153     -7.540
      0.814     -7.562      7.569     -4.048
      0.829     -7.691     10.299     -9.342
      0.843    -12.481      3.023     -7.048
      0.857     -7.270     10.421     -3.399
      0.871     -8.402      3.112     -7.822
      0.886    -16.323      8.930     -5.772
      0.900    -10.312      1.729     -6.521
      0.914     -5.313     13.790     -6.752
      0.929    -12.160      3.180     -6.713
      0.943    -10.447     -3.059     -2.893
      0.957     -8.680      8.013     -5.780
      0.971    -12.156     -0.766     -9.132
      0.986    -12.288      1.517     -3.810
      1.000     -5.264      5.484     -4.586
