#   T (Gyrs)         Lx         Ly         Lz
      0.000     -0.142      0.082      0.314
      0.014     -0.138      0.081      0.304
      0.029     -0.134      0.079      0.294
      0.043     -0.130      0.078      0.284
      0.057     -0.125      0.076      0.273
      0.071     -0.121      0.074      0.263
      0.086     -0.116      0.072      0.252
      0.100     -0.112      0.070      0.241
      0.114     -0.107      0.068      0.230
      0.129     -0.102      0.066      0.219
      0.143     -0.097      0.064      0.208
      0.157     -0.092      0.061      0.197
      0.171     -0.087      0.059      0.185
      0.186     -0.082      0.057      0.174
      0.200     -0.077      0.054      0.162
      0.214     -0.072      0.052      0.151
      0.229     -0.066      0.049      0.139
      0.243     -0.061      0.046      0.127
      0.257     -0.055      0.043      0.116
      0.271     -0.050      0.040      0.104
      0.286     -0.044      0.037      0.092
      0.300     -0.038      0.034      0.081
      0.314     -0.033      0.031      0.069
      0.329     -0.027      0.028      0.057
      0.343     -0.021      0.025      0.045
      0.357     -0.015      0.021      0.033
      0.371     -0.009      0.018      0.021
      0.386     -0.003      0.015      0.010
      0.400      0.003      0.011     -0.002
      0.414      0.008      0.007     -0.014
      0.429      0.014      0.004     -0.026
      0.443      0.020     -0.000     -0.037
      0.457      0.026     -0.004     -0.049
      0.471      0.032     -0.008     -0.061
      0.486      0.038     -0.012     -0.073
      0.500      0.044     -0.016     -0.084
      0.514      0.050     -0.020     -0.096
      0.529      0.056     -0.024     -0.108
      0.543      0.062     -0.028     -0.120
      0.557      0.067     -0.032     -0.131
      0.571      0.073     -0.037     -0.142
      0.586      0.079     -0.041     -0.154
      0.600      0.085     -0.046     -0.165
      0.614      0.091     -0.051     -0.176
      0.629      0.096     -0.056     -0.187
      0.643      0.102     -0.060     -0.198
      0.657      0.107     -0.065     -0.209
      0.671      0.113     -0.070     -0.219
      0.686      0.118     -0.075     -0.230
      0.700      0.123     -0.080     -0.241
      0.714      0.129     -0.085     -0.251
      0.729      0.134     -0.090     -0.261
      0.743      0.139     -0.095     -0.271
      0.757      0.144     -0.101     -0.281
      0.771      0.149     -0.106     -0.291
      0.786      0.153     -0.111     -0.301
      0.800      0.158     -0.116     -0.310
      0.814      0.163     -0.122     -0.320
      0.829      0.167     -0.127     -0.329
      0.843      0.171     -0.133     -0.337
      0.857      0.176     -0.138     -0.346
      0.871      0.179     -0.144     -0.355
      0.886      0.183     -0.149     -0.363
      0.900      0.187     -0.155     -0.371
      0.914      0.191     -0.160     -0.379
      0.929      0.194     -0.166     -0.387
      0.943      0.198     -0.172     -0.394
      0.957      0.201     -0.178     -0.402
      0.971      0.204     -0.184     -0.409
      0.986      0.207     -0.190     -0.415
      1.000      0.209     -0.196     -0.422
      1.014      0.212     -0.202     -0.428
      1.029      0.214     -0.208     -0.434
      1.043      0.216     -0.214     -0.439
      1.057      0.218     -0.220     -0.445
      1.071      0.219     -0.226     -0.449
      1.086      0.221     -0.232     -0.454
      1.100      0.222     -0.239     -0.458
      1.114      0.223     -0.245     -0.462
      1.129      0.224     -0.251     -0.466
      1.143      0.224     -0.258     -0.469
      1.157      0.224     -0.264     -0.472
      1.171      0.224     -0.271     -0.475
      1.186      0.224     -0.277     -0.477
      1.200      0.223     -0.284     -0.479
      1.214      0.222     -0.291     -0.480
      1.229      0.222     -0.297     -0.480
      1.243      0.220     -0.304     -0.481
      1.257      0.218     -0.311     -0.481
      1.271      0.216     -0.317     -0.481
      1.286      0.213     -0.324     -0.480
      1.300      0.210     -0.330     -0.479
      1.314      0.207     -0.337     -0.477
      1.329      0.203     -0.344     -0.474
      1.343      0.199     -0.351     -0.472
      1.357      0.195     -0.357     -0.468
      1.371      0.190     -0.364     -0.464
      1.386      0.185     -0.370     -0.460
      1.400      0.179     -0.377     -0.455
      1.414      0.173     -0.384     -0.449
      1.429      0.166     -0.391     -0.443
      1.443      0.159     -0.397     -0.437
      1.457      0.152     -0.404     -0.429
      1.471      0.144     -0.411     -0.421
      1.486      0.135     -0.417     -0.413
      1.500      0.126     -0.424     -0.403
      1.514      0.116     -0.431     -0.393
      1.529      0.106     -0.437     -0.382
      1.543      0.095     -0.443     -0.371
      1.557      0.084     -0.450     -0.359
      1.571      0.072     -0.456     -0.346
      1.586      0.060     -0.461     -0.332
      1.600      0.047     -0.467     -0.318
      1.614      0.032     -0.473     -0.302
      1.629      0.018     -0.478     -0.286
      1.643      0.003     -0.484     -0.269
      1.657     -0.012     -0.489     -0.252
      1.671     -0.029     -0.494     -0.233
      1.686     -0.046     -0.498     -0.214
