#   T (Gyrs)         Lx         Ly         Lz
      0.000     -0.008      0.003      0.001
      0.014      0.006     -0.021      0.001
      0.029      0.008     -0.030     -0.000
      0.043     -0.002     -0.019     -0.001
      0.057     -0.010     -0.002     -0.001
      0.071      0.001      0.004      0.000
      0.086      0.022     -0.002      0.001
      0.100      0.028     -0.003      0.001
      0.114      0.014      0.007     -0.000
      0.129     -0.008      0.021     -0.001
      0.143     -0.026      0.027     -0.000
      0.157     -0.026      0.015     -0.000
      0.171     -0.007     -0.013      0.001
      0.186      0.008     -0.032      0.001
      0.200      0.004     -0.022      0.000
      0.214     -0.005     -0.001     -0.001
      0.229     -0.006      0.010     -0.001
      0.243      0.001      0.008     -0.000
      0.257      0.011     -0.000      0.001
      0.271      0.019     -0.008      0.001
      0.286      0.020     -0.010      0.001
      0.300      0.008      0.002     -0.001
      0.314     -0.016      0.025     -0.001
      0.329     -0.032      0.034     -0.000
      0.343     -0.012      0.002      0.001
      0.357      0.005     -0.023      0.001
      0.371      0.004     -0.024      0.000
      0.386     -0.004     -0.014     -0.001
      0.400     -0.005     -0.003     -0.001
      0.414      0.011     -0.000     -0.000
      0.429      0.031      0.003      0.001
      0.443      0.020      0.025      0.001
      0.457     -0.012      0.045     -0.000
      0.471     -0.026      0.036     -0.001
      0.486     -0.018      0.005     -0.001
      0.500     -0.004     -0.028      0.000
      0.514      0.002     -0.042      0.001
      0.529     -0.001     -0.032      0.001
      0.543      0.003     -0.011     -0.000
      0.557      0.024     -0.001     -0.001
      0.571      0.039      0.004     -0.000
      0.586      0.030      0.017      0.001
      0.600      0.003      0.036      0.001
      0.614     -0.025      0.048      0.001
      0.629     -0.037      0.039     -0.000
      0.643     -0.028      0.009     -0.001
      0.657     -0.008     -0.027     -0.001
      0.671      0.005     -0.046     -0.000
      0.686      0.005     -0.043      0.001
      0.700     -0.002     -0.026      0.001
      0.714     -0.006     -0.010      0.001
      0.729     -0.002     -0.001      0.000
      0.743      0.010      0.000     -0.001
      0.757      0.024     -0.000     -0.001
      0.771      0.033      0.007     -0.000
      0.786      0.022      0.030      0.001
      0.800     -0.011      0.059      0.002
      0.814     -0.034      0.062      0.002
      0.829     -0.029      0.032      0.000
      0.843     -0.013     -0.005     -0.001
      0.857     -0.001     -0.033     -0.001
      0.871      0.002     -0.044      0.000
      0.886     -0.001     -0.042      0.001
      0.900     -0.002     -0.030      0.003
      0.914      0.008     -0.015      0.003
      0.929      0.036      0.002      0.001
      0.943      0.054      0.028     -0.002
      0.957      0.027      0.062     -0.001
      0.971     -0.009      0.074      0.002
      0.986     -0.029      0.061      0.003
      1.000     -0.033      0.030      0.003
      1.014     -0.026     -0.010      0.001
      1.029     -0.015     -0.048     -0.001
      1.043     -0.005     -0.075     -0.002
      1.057      0.007     -0.070      0.001
      1.071      0.037     -0.028      0.005
      1.086      0.062      0.009      0.004
      1.100      0.053      0.034      0.000
      1.114      0.024      0.055     -0.002
      1.129     -0.011      0.068     -0.001
      1.143     -0.038      0.068      0.001
      1.157     -0.052      0.047      0.003
      1.171     -0.047      0.004      0.005
      1.186     -0.029     -0.049      0.005
      1.200     -0.010     -0.084      0.002
      1.214     -0.000     -0.080     -0.001
      1.229      0.007     -0.051     -0.002
      1.243      0.021     -0.023      0.000
      1.257      0.039     -0.005      0.003
      1.271      0.053      0.010      0.006
      1.286      0.055      0.029      0.007
      1.300      0.041      0.053      0.004
      1.314      0.012      0.080      0.001
      1.329     -0.024      0.098     -0.002
      1.343     -0.053      0.094     -0.003
      1.357     -0.061      0.058     -0.001
      1.371     -0.048      0.002      0.003
      1.386     -0.027     -0.051      0.007
      1.400     -0.011     -0.080      0.008
      1.414     -0.001     -0.084      0.006
      1.429      0.006     -0.069      0.003
      1.443      0.020     -0.045     -0.000
      1.457      0.044     -0.018     -0.001
      1.471      0.069      0.010      0.002
      1.486      0.079      0.043      0.005
      1.500      0.064      0.080      0.008
      1.514      0.028      0.112      0.009
      1.529     -0.013      0.129      0.007
      1.543     -0.046      0.121      0.004
      1.557     -0.063      0.091      0.000
      1.571     -0.064      0.043     -0.001
      1.586     -0.052     -0.014     -0.001
      1.600     -0.035     -0.069      0.001
      1.614     -0.017     -0.109      0.005
      1.629     -0.003     -0.124      0.009
      1.643      0.010     -0.109      0.011
      1.657      0.029     -0.076      0.007
      1.671      0.053     -0.039      0.002
      1.686      0.075     -0.005     -0.002
      1.700      0.088      0.026     -0.002
      1.714      0.086      0.056      0.002
      1.729      0.067      0.088      0.006
      1.743      0.033      0.120      0.011
      1.757     -0.010      0.146      0.014
