#   T (Gyrs)         Lx         Ly         Lz
      0.000    -84.739   -104.513    -88.401
      0.014    -94.714   -107.171   -106.464
      0.029   -103.160   -109.137   -119.951
      0.043   -110.270   -116.399   -128.419
      0.057   -119.722   -120.671   -129.676
      0.071   -131.797   -125.013   -128.609
      0.086   -141.994   -127.117   -137.409
      0.100   -150.230   -127.918   -150.250
      0.114   -157.381   -132.316   -159.067
      0.129   -162.236   -136.951   -159.287
      0.143   -173.506   -143.819   -172.826
      0.157   -181.941   -145.495   -190.634
      0.171   -191.456   -152.056   -202.809
      0.186   -203.095   -160.816   -215.158
      0.200   -214.189   -167.492   -226.494
      0.214   -222.890   -174.802   -238.596
      0.229   -231.244   -182.218   -249.079
      0.243   -239.760   -191.284   -253.610
      0.257   -251.452   -197.230   -254.813
      0.271   -264.391   -198.243   -275.302
      0.286   -272.969   -193.497   -294.035
      0.300   -283.903   -198.746   -309.234
      0.314   -295.455   -209.945   -307.447
      0.329   -308.741   -211.375   -322.665
      0.343   -318.002   -213.828   -337.276
      0.357   -327.035   -219.344   -345.169
      0.371   -337.705   -220.790   -357.167
      0.386   -347.407   -225.103   -370.893
      0.400   -355.075   -232.848   -380.162
      0.414   -362.722   -238.777   -391.531
      0.429   -368.697   -243.945   -394.671
      0.443   -374.893   -251.779   -393.503
      0.457   -378.522   -260.109   -401.389
      0.471   -389.090   -264.868   -408.915
      0.486   -401.020   -268.006   -424.712
      0.500   -410.818   -274.367   -429.888
      0.514   -419.806   -272.689   -453.195
      0.529   -426.757   -283.398   -461.061
      0.543   -436.562   -292.893   -465.403
      0.557   -445.659   -302.560   -483.613
      0.571   -453.697   -306.711   -501.194
      0.586   -462.198   -322.187   -508.533
      0.600   -473.647   -334.543   -517.368
      0.614   -481.203   -349.514   -536.354
      0.629   -488.333   -361.568   -538.534
      0.643   -501.071   -367.048   -553.223
      0.657   -511.864   -382.615   -565.094
      0.671   -523.173   -387.462   -575.203
      0.686   -531.814   -399.696   -590.180
      0.700   -541.770   -410.616   -600.547
      0.714   -556.273   -421.146   -608.582
      0.729   -569.978   -422.196   -630.355
      0.743   -575.719   -435.146   -638.257
      0.757   -591.259   -448.594   -649.396
      0.771   -604.876   -453.683   -669.028
      0.786   -606.760   -458.560   -683.104
      0.800   -611.279   -475.835   -692.795
      0.814   -622.473   -481.736   -700.254
      0.829   -632.739   -497.780   -725.971
      0.843   -632.672   -505.013   -730.537
      0.857   -644.347   -514.159   -741.849
      0.871   -644.918   -523.190   -752.321
      0.886   -656.687   -533.688   -749.965
      0.900   -669.091   -535.664   -760.606
      0.914   -681.427   -530.538   -788.850
      0.929   -690.285   -539.522   -790.585
      0.943   -692.651   -545.113   -800.392
      0.957   -716.637   -543.839   -817.178
      0.971   -720.796   -538.704   -836.834
      0.986   -727.845   -549.686   -857.680
      1.000   -730.145   -544.820   -865.091
      1.014   -721.375   -540.621   -876.314
      1.029   -721.342   -536.435   -905.076
      1.043   -738.814   -539.151   -915.229
      1.057   -738.547   -535.066   -946.631
      1.071   -749.500   -532.063   -953.518
      1.086   -743.831   -539.510   -976.144
      1.100   -769.258   -536.391   -979.477
      1.114   -777.075   -537.368   -984.098
      1.129   -794.414   -537.031   -988.108
      1.143   -796.488   -534.392   -996.981
      1.157   -798.399   -534.657   -999.988
      1.171   -804.751   -534.277  -1018.822
      1.186   -809.190   -536.060  -1030.612
      1.200   -825.118   -534.580  -1044.070
      1.214   -831.393   -529.561  -1060.576
      1.229   -827.404   -526.627  -1088.561
      1.243   -822.997   -525.584  -1096.694
      1.257   -815.413   -523.387  -1105.213
      1.271   -809.733   -523.828  -1105.731
      1.286   -823.919   -520.857  -1109.463
      1.300   -829.165   -520.572  -1120.797
      1.314   -837.360   -519.069  -1124.124
      1.329   -840.620   -519.471  -1141.815
      1.343   -840.826   -518.334  -1138.604
      1.357   -859.239   -517.590  -1142.320
      1.371   -866.526   -518.373  -1150.886
      1.386   -851.855   -520.891  -1156.961
      1.400   -872.859   -522.913  -1166.365
      1.414   -870.450   -523.472  -1169.220
      1.429   -887.716   -523.555  -1169.744
      1.443   -906.115   -524.079  -1185.493
      1.457   -901.751   -523.322  -1192.119
      1.471   -902.232   -522.523  -1200.653
      1.486   -904.339   -517.089  -1196.247
      1.500   -897.361   -516.267  -1190.090
      1.514   -896.318   -512.646  -1199.515
      1.529   -890.426   -510.639  -1206.145
      1.543   -894.437   -506.308  -1218.305
      1.557   -925.000   -505.919  -1229.245
      1.571   -921.215   -502.896  -1238.297
      1.586   -930.519   -500.141  -1239.452
      1.600   -955.678   -500.489  -1250.209
      1.614   -945.701   -502.458  -1262.708
      1.629   -948.623   -500.817  -1268.343
      1.643   -962.905   -498.440  -1259.706
      1.657   -985.391   -502.464  -1267.125
      1.671  -1010.218   -501.797  -1271.290
      1.686  -1033.652   -507.378  -1277.443
      1.700  -1056.664   -510.493  -1278.885
      1.714  -1072.749   -512.022  -1285.288
      1.729  -1104.713   -512.663  -1288.022
      1.743  -1116.302   -513.435  -1296.163
      1.757  -1112.762   -513.220  -1302.827
      1.771  -1137.932   -508.208  -1295.357
      1.786  -1141.230   -502.749  -1292.908
      1.800  -1161.794   -503.160  -1301.863
      1.814  -1176.555   -505.310  -1301.807
      1.829  -1197.512   -504.962  -1304.288
      1.843  -1196.312   -499.972  -1306.125
      1.857  -1205.936   -498.550  -1312.553
      1.871  -1234.274   -501.386  -1316.999
      1.886  -1232.312   -490.188  -1318.482
      1.900  -1271.340   -498.947  -1326.495
      1.914  -1278.015   -500.800  -1337.218
      1.929  -1290.373   -504.950  -1337.019
      1.943  -1286.316   -505.022  -1351.154
      1.957  -1277.516   -498.032  -1357.767
      1.971  -1285.283   -496.088  -1348.254
      1.986  -1301.975   -491.650  -1342.554
      2.000  -1306.162   -488.857  -1351.139
      2.014  -1317.189   -481.576  -1353.831
      2.029  -1325.815   -493.407  -1360.492
      2.043  -1344.846   -501.531  -1360.659
      2.057  -1369.307   -504.593  -1374.390
      2.071  -1400.673   -502.322  -1380.883
      2.086  -1396.845   -505.336  -1384.699
      2.100  -1409.305   -509.929  -1400.256
      2.114  -1423.452   -509.459  -1410.817
      2.129  -1419.553   -502.864  -1417.609
      2.143  -1438.831   -507.551  -1420.515
      2.157  -1461.116   -498.296  -1424.497
      2.171  -1494.760   -514.554  -1437.384
      2.186  -1474.071   -511.002  -1444.575
      2.200  -1473.694   -504.714  -1446.267
      2.214  -1486.245   -504.052  -1452.179
      2.229  -1508.453   -505.360  -1463.946
      2.243  -1516.758   -502.381  -1471.700
      2.257  -1519.398   -504.917  -1477.826
      2.271  -1547.322   -505.827  -1490.718
      2.286  -1545.931   -517.351  -1496.634
      2.300  -1550.568   -509.139  -1504.616
      2.314  -1576.318   -507.425  -1508.627
      2.329  -1613.147   -518.592  -1518.384
      2.343  -1601.787   -520.557  -1525.559
      2.357  -1623.591   -525.760  -1533.181
      2.371  -1620.340   -535.573  -1546.115
      2.386  -1605.573   -539.952  -1554.167
      2.400  -1591.575   -541.924  -1563.498
      2.414  -1607.804   -549.239  -1570.752
      2.429  -1606.399   -543.723  -1580.153
      2.443  -1611.227   -545.295  -1589.196
      2.457  -1623.435   -538.999  -1598.369
      2.471  -1640.971   -545.223  -1609.456
      2.486  -1629.699   -552.670  -1619.513
      2.500  -1653.595   -549.281  -1630.672
      2.514  -1676.028   -553.026  -1639.102
      2.529  -1695.770   -557.338  -1648.593
      2.543  -1719.554   -567.760  -1658.976
      2.557  -1718.535   -564.286  -1668.512
      2.571  -1729.299   -560.135  -1679.081
      2.586  -1724.887   -564.648  -1691.321
      2.600  -1732.768   -557.277  -1704.704
      2.614  -1742.740   -556.255  -1717.879
      2.629  -1752.062   -552.324  -1730.505
      2.643  -1731.593   -548.950  -1742.457
      2.657  -1747.203   -529.834  -1753.744
      2.671  -1772.356   -527.430  -1765.297
      2.686  -1783.863   -521.760  -1776.771
      2.700  -1810.331   -521.738  -1787.718
      2.714  -1824.840   -528.422  -1798.550
      2.729  -1839.831   -536.503  -1809.965
      2.743  -1849.030   -535.207  -1821.216
      2.757  -1863.661   -536.389  -1832.037
      2.771  -1876.150   -533.251  -1842.671
      2.786  -1870.794   -528.511  -1852.877
      2.800  -1888.079   -531.873  -1863.076
      2.814  -1910.730   -538.007  -1873.836
      2.829  -1910.605   -536.505  -1884.730
      2.843  -1915.540   -541.018  -1894.579
      2.857  -1935.897   -545.465  -1903.843
      2.871  -1951.525   -544.193  -1912.003
      2.886  -1951.909   -550.772  -1921.397
      2.900  -1959.487   -552.706  -1932.339
      2.914  -1963.284   -553.355  -1942.725
      2.929  -1986.055   -554.338  -1953.804
      2.943  -1986.334   -565.530  -1963.929
      2.957  -1997.887   -565.603  -1974.604
      2.971  -2022.171   -569.956  -1986.980
      2.986  -2039.072   -581.506  -1997.365
      3.000  -2047.129   -586.416  -2007.567
      3.014  -2056.421   -589.782  -2018.016
      3.029  -2081.197   -593.057  -2028.042
      3.043  -2080.714   -592.461  -2036.795
      3.057  -2113.259   -593.249  -2048.775
      3.071  -2139.468   -587.390  -2060.742
      3.086  -2173.165   -593.126  -2075.073
      3.100  -2205.103   -597.378  -2088.252
      3.114  -2214.111   -598.929  -2099.482
      3.129  -2224.865   -602.861  -2108.082
      3.143  -2236.573   -605.938  -2121.727
      3.157  -2253.729   -615.871  -2131.525
      3.171  -2283.067   -618.487  -2144.924
      3.186  -2292.387   -626.272  -2156.142
      3.200  -2302.060   -631.415  -2170.073
      3.214  -2317.921   -636.765  -2184.775
      3.229  -2332.484   -642.656  -2197.882
      3.243  -2356.298   -650.241  -2212.687
      3.257  -2368.934   -655.374  -2224.382
      3.271  -2395.032   -656.862  -2233.503
      3.286  -2410.830   -663.635  -2245.243
      3.300  -2427.058   -667.511  -2255.314
      3.314  -2445.864   -671.176  -2263.504
      3.329  -2473.510   -675.379  -2277.309
      3.343  -2493.793   -679.651  -2285.929
      3.357  -2542.338   -683.360  -2304.749
      3.371  -2568.197   -688.024  -2306.783
      3.386  -2582.904   -691.373  -2311.707
      3.400  -2600.274   -694.786  -2332.094
      3.414  -2635.113   -699.034  -2344.790
      3.429  -2643.116   -702.683  -2359.693
      3.443  -2655.057   -705.228  -2370.366
      3.457  -2668.150   -707.011  -2388.756
      3.471  -2695.101   -705.662  -2409.690
      3.486  -2716.905   -700.757  -2421.140
      3.500  -2732.080   -695.580  -2436.160
      3.514  -2739.091   -692.101  -2443.850
      3.529  -2761.529   -686.702  -2450.183
      3.543  -2779.075   -680.840  -2457.700
      3.557  -2802.338   -668.034  -2477.878
      3.571  -2818.249   -658.269  -2474.225
      3.586  -2835.613   -644.840  -2492.459
      3.600  -2849.861   -630.790  -2498.129
      3.614  -2862.649   -622.192  -2525.228
      3.629  -2883.987   -595.820  -2539.307
      3.643  -2901.469   -584.952  -2561.422
      3.657  -2916.557   -549.984  -2584.007
      3.671  -2938.189   -526.214  -2605.205
      3.686  -2956.615   -488.009  -2627.207
      3.700  -2971.207   -446.566  -2653.730
      3.714  -2988.623   -394.830  -2676.082
      3.729  -3007.174   -331.339  -2695.750
      3.743  -3022.211   -271.313  -2712.274
      3.757  -3039.549   -181.149  -2743.911
      3.771  -3056.308    -81.238  -2778.762
      3.786  -3073.334     48.972  -2801.033
      3.800  -3091.210    158.060  -2840.903
      3.814  -3106.846    322.590  -2879.621
      3.829  -3121.841    481.252  -2920.536
      3.843  -3138.408    672.055  -2961.641
      3.857  -3159.289    882.872  -3018.387
      3.871  -3180.605   1157.967  -3053.455
      3.886  -3209.659   1492.582  -3100.670
      3.900  -3247.048   1805.837  -3158.012
      3.914  -3291.646   2113.546  -3214.997
      3.929  -3336.356   2396.198  -3268.135
      3.943  -3383.825   2731.002  -3311.968
      3.957  -3423.531   2910.492  -3331.313
      3.971  -3449.965   3035.161  -3313.715
      3.986  -3464.343   2992.978  -3244.860
      4.000  -3455.666   2841.660  -3136.095
      4.014  -3421.734   2666.013  -2989.738
      4.029  -3379.874   2508.498  -2759.436
      4.043  -3315.047   2142.536  -2572.079
      4.057  -3242.510   1794.529  -2351.789
      4.071  -3156.306   1432.921  -2167.275
      4.086  -3077.831   1076.527  -1976.440
      4.100  -2996.739    782.720  -1805.756
      4.114  -2861.811    363.889  -1765.570
      4.129  -2846.017    211.334  -1509.267
      4.143  -2787.547     -2.028  -1390.428
      4.157  -2722.697   -227.649  -1305.370
      4.171  -2645.641   -445.062  -1238.078
      4.186  -2572.217   -606.802  -1154.788
      4.200  -2525.348   -713.573  -1097.770
      4.214  -2452.172   -834.006  -1026.438
      4.229  -2398.777   -997.823  -1016.643
      4.243  -2349.302  -1059.121   -973.893
      4.257  -2267.819  -1137.829   -928.510
      4.271  -2211.987  -1259.743   -915.581
      4.286  -2158.581  -1360.592   -913.518
      4.300  -2082.820  -1498.202   -899.069
      4.314  -2026.515  -1603.142   -859.058
      4.329  -1966.726  -1639.870   -821.042
      4.343  -1895.027  -1780.310   -861.706
      4.357  -1827.523  -1835.747   -844.070
      4.371  -1762.929  -1895.636   -774.420
      4.386  -1688.944  -1879.031   -795.266
      4.400  -1604.433  -1896.949   -819.713
      4.414  -1547.544  -1919.848   -772.218
      4.429  -1467.570  -1978.216   -822.207
      4.443  -1388.247  -1993.942   -775.198
      4.457  -1348.662  -2073.975   -772.448
      4.471  -1258.916  -2093.710   -770.557
      4.486  -1202.972  -2228.537   -726.209
      4.500  -1169.081  -2172.058   -684.039
      4.514  -1093.835  -2167.033   -689.738
      4.529  -1028.206  -2196.471   -655.941
      4.543   -971.981  -2198.922   -603.489
      4.557   -912.247  -2235.612   -581.682
      4.571   -867.388  -2333.230   -557.303
      4.586   -833.458  -2316.178   -522.938
      4.600   -758.813  -2263.536   -508.068
      4.614   -665.974  -2255.789   -527.450
      4.629   -515.716  -2353.114   -565.219
      4.643   -499.920  -2256.528   -539.496
      4.657   -461.631  -2256.596   -561.457
      4.671   -384.485  -2200.768   -517.758
      4.686   -335.345  -2127.844   -530.054
      4.700   -278.074  -2128.705   -483.131
      4.714   -218.973  -2099.566   -489.363
      4.729   -196.175  -2078.407   -496.744
      4.743   -120.141  -2074.300   -398.712
      4.757    -93.579  -2057.421   -347.941
      4.771    -58.026  -2018.485   -339.682
      4.786     33.155  -1993.907   -291.983
      4.800     35.935  -1916.873   -240.210
      4.814     71.222  -1873.326   -229.438
      4.829    104.958  -1814.967   -183.445
      4.843    137.051  -1774.329   -202.550
      4.857    198.829  -1717.481   -206.629
      4.871    193.480  -1621.920   -186.941
      4.886    265.265  -1599.348   -157.431
      4.900    309.539  -1568.886    -97.765
      4.914    322.265  -1494.398    -60.892
      4.929    345.793  -1398.092    -78.143
      4.943    407.138  -1343.007    -59.908
      4.957    407.169  -1332.370    -24.244
      4.971    425.424  -1203.125    -24.482
      4.986    431.196  -1116.369    -54.908
      5.000    498.549  -1031.957    -67.809
      5.014    554.181   -962.174    -86.821
      5.029    597.344   -864.922    -66.503
      5.043    624.785   -819.756    -16.664
      5.057    633.578   -709.612    -65.346
      5.071    677.987   -680.546    -24.712
      5.086    682.860   -588.940      1.478
      5.100    677.659   -489.906     -7.999
      5.114    687.914   -403.074      7.546
      5.129    692.565   -307.434    -12.843
      5.143    699.070   -232.733    -45.905
      5.157    730.344   -128.335     -7.917
      5.171    748.931    -37.887    -43.196
      5.186    726.453     72.273    -23.408
      5.200    783.408    171.156    -26.804
      5.214    849.706    263.701    -32.488
      5.229    839.305    352.699    -17.833
      5.243    786.109    460.360    -21.135
      5.257    836.936    557.073    -27.845
      5.271    859.773    662.374    -55.855
      5.286    877.784    760.871    -12.967
      5.300    892.858    872.947    -17.556
      5.314    880.639    979.803    -17.068
      5.329    939.304   1090.508      3.385
      5.343    895.471   1204.381     44.751
      5.357    888.955   1327.377     41.704
      5.371    896.526   1452.601     44.814
      5.386    880.015   1580.378     31.754
      5.400    870.193   1713.333     -3.856
      5.414    881.732   1847.073     13.102
      5.429    880.307   1991.930     18.415
      5.443    855.607   2129.418     14.346
      5.457    903.660   2278.539     15.420
      5.471    901.390   2435.735     30.611
      5.486    897.180   2604.913     51.135
      5.500    880.427   2768.307     32.664
      5.514    920.918   2941.691     25.696
      5.529    935.044   3136.940     14.256
      5.543    928.974   3346.675     25.459
      5.557    872.566   3559.198     67.130
      5.571    838.889   3778.760     28.183
      5.586    810.937   3996.225     39.368
      5.600    767.180   4265.368     35.211
      5.614    725.970   4523.286    -14.082
      5.629    686.908   4765.783    -10.495
      5.643    674.032   5080.331    -29.931
      5.657    650.422   5369.303    -33.669
      5.671    656.586   5701.806    -31.726
      5.686    613.657   6086.533    -31.591
      5.700    525.327   6539.291    -12.562
      5.714    388.136   6952.648    -14.563
      5.729    279.696   7463.226     -7.979
      5.743    189.787   8026.669    -42.876
      5.757    103.638   8597.476    -50.560
      5.771     16.387   9287.701    -67.048
      5.786   -132.627   9960.458    -61.303
      5.800   -370.690  10812.146    -64.554
      5.814   -682.045  11894.287    -83.393
      5.829  -1206.709  13197.272   -113.145
      5.843  -2164.576  14527.899   -160.050
      5.857  -3235.748  12361.578     72.327
      5.871  -2613.040   9719.649    394.824
      5.886  -1884.903   8267.741    613.527
      5.900  -1258.240   7324.221    783.933
      5.914   -789.953   6534.222    908.178
      5.929   -435.939   5806.376   1001.007
      5.943   -113.222   5170.670   1087.908
      5.957    229.770   4838.030   1150.472
      5.971    567.405   4557.131   1214.212
      5.986    910.193   4421.647   1273.571
      6.000   1227.823   4439.092   1344.973
      6.014   1478.001   4442.339   1411.298
      6.029   1675.564   4304.545   1463.680
      6.043   1835.454   4109.490   1522.614
      6.057   1996.714   3996.686   1575.260
      6.071   2119.359   3709.618   1619.417
      6.086   2266.969   3372.007   1659.283
      6.100   2411.652   3131.545   1705.668
      6.114   2508.350   2702.818   1747.432
      6.129   2607.516   2299.430   1789.726
      6.143   2740.431   1912.243   1823.888
      6.157   2887.465   1407.920   1864.752
      6.171   3052.437    925.730   1920.231
      6.186   3228.127    289.046   1980.943
      6.200   3468.153   -543.351   2057.372
      6.214   3810.329  -1932.024   2163.272
      6.229   4308.591  -5273.178   2375.516
      6.243   3024.469   -904.691   2410.607
      6.257   2394.690   2364.955   2183.388
      6.271   1976.444   4174.609   1942.260
      6.286   1667.981   5233.465   1709.333
      6.300   1458.251   6156.380   1500.576
      6.314   1825.802   6627.328   1550.978
      6.329   2183.115   4477.593   1951.595
      6.343   2191.327   4704.549   1868.839
