#   T (Gyrs)         Lx         Ly         Lz
      0.000   -134.165    -38.835   -107.473
      0.014   -142.138    -40.961   -112.749
      0.029   -149.447    -39.477   -120.184
      0.043   -149.737    -35.063   -127.530
      0.057   -156.711    -49.191   -133.011
      0.071   -159.412    -48.293   -138.984
      0.086   -163.504    -46.225   -146.087
      0.100   -167.592    -57.589   -151.558
      0.114   -175.897    -64.765   -156.609
      0.129   -181.194    -71.625   -163.366
      0.143   -181.672    -80.153   -169.292
      0.157   -196.380    -85.932   -177.454
      0.171   -201.155    -86.862   -183.136
      0.186   -203.465    -86.399   -189.205
      0.200   -213.491    -83.877   -192.854
      0.214   -221.803    -82.108   -200.832
      0.229   -224.191    -85.368   -206.940
      0.243   -227.835    -87.244   -215.026
      0.257   -233.345    -86.624   -222.513
      0.271   -240.131   -101.959   -228.856
      0.286   -246.703   -102.411   -236.063
      0.300   -246.354    -98.710   -243.636
      0.314   -264.055   -113.358   -251.718
      0.329   -266.317   -122.773   -259.248
      0.343   -269.743   -121.252   -264.811
      0.357   -271.101   -126.399   -273.512
      0.371   -269.803   -143.472   -280.855
      0.386   -271.806   -161.367   -288.854
      0.400   -280.734   -182.768   -297.723
      0.414   -287.457   -197.366   -305.565
      0.429   -304.770   -206.879   -311.623
      0.443   -311.059   -200.962   -319.137
      0.457   -320.858   -200.803   -327.643
      0.471   -330.241   -206.459   -335.949
      0.486   -336.206   -195.026   -343.029
      0.500   -344.273   -194.979   -352.171
      0.514   -348.733   -191.930   -358.711
      0.529   -351.904   -191.031   -364.617
      0.543   -361.684   -186.545   -371.250
      0.557   -367.047   -179.215   -378.811
      0.571   -366.634   -178.209   -386.547
      0.586   -369.597   -177.163   -393.187
      0.600   -376.548   -169.942   -398.599
      0.614   -384.480   -183.096   -405.576
      0.629   -392.322   -174.236   -410.769
      0.643   -394.572   -174.634   -416.395
      0.657   -409.810   -179.945   -421.350
      0.671   -415.560   -175.386   -427.940
      0.686   -423.721   -187.438   -435.713
      0.700   -430.717   -189.160   -446.113
      0.714   -438.654   -198.685   -453.985
      0.729   -442.580   -193.377   -463.993
      0.743   -449.219   -215.311   -471.127
      0.757   -459.220   -231.774   -482.379
      0.771   -468.100   -237.487   -495.262
      0.786   -476.959   -240.314   -504.341
      0.800   -486.399   -245.712   -512.994
      0.814   -496.647   -238.071   -521.945
      0.829   -502.229   -234.560   -532.593
      0.843   -506.238   -223.228   -542.054
      0.857   -502.658   -230.212   -548.967
      0.871   -504.811   -243.828   -556.614
      0.886   -507.066   -252.970   -567.227
      0.900   -515.705   -255.610   -575.994
      0.914   -522.402   -265.060   -587.373
      0.929   -528.084   -263.999   -599.916
      0.943   -535.310   -272.770   -610.520
      0.957   -546.137   -273.711   -622.065
      0.971   -561.020   -273.491   -633.674
      0.986   -575.266   -282.547   -644.672
      1.000   -593.508   -284.366   -654.474
      1.014   -598.246   -273.783   -665.432
      1.029   -605.122   -271.942   -674.641
      1.043   -608.325   -276.075   -684.078
      1.057   -609.596   -270.671   -693.627
      1.071   -617.218   -281.964   -704.223
      1.086   -618.343   -287.029   -713.295
      1.100   -624.974   -296.392   -721.750
      1.114   -629.524   -304.910   -730.892
      1.129   -631.400   -315.962   -740.847
      1.143   -633.823   -325.028   -749.184
      1.157   -637.470   -335.355   -756.895
      1.171   -644.813   -330.281   -766.182
      1.186   -650.611   -327.953   -775.189
      1.200   -657.199   -322.281   -784.362
      1.214   -657.266   -324.701   -793.520
      1.229   -650.297   -316.664   -803.372
      1.243   -654.071   -322.510   -813.032
      1.257   -661.096   -325.663   -821.610
      1.271   -660.432   -336.849   -829.121
      1.286   -663.347   -339.355   -835.258
      1.300   -668.705   -354.364   -841.254
      1.314   -680.019   -352.611   -847.498
      1.329   -685.121   -367.723   -853.088
      1.343   -695.371   -366.745   -859.808
      1.357   -704.357   -369.230   -866.857
      1.371   -709.126   -362.610   -873.776
      1.386   -720.886   -356.403   -880.381
      1.400   -729.874   -352.190   -887.213
      1.414   -738.420   -354.281   -893.524
      1.429   -736.674   -345.755   -900.360
      1.443   -749.234   -358.952   -907.738
      1.457   -749.809   -360.090   -913.540
      1.471   -760.463   -374.904   -922.343
      1.486   -766.111   -387.395   -929.527
      1.500   -774.623   -390.511   -938.366
      1.514   -784.945   -390.541   -946.700
      1.529   -795.782   -397.120   -956.444
      1.543   -802.447   -398.897   -964.935
      1.557   -806.833   -410.630   -974.637
      1.571   -822.378   -419.045   -980.562
      1.586   -834.510   -412.504   -990.615
      1.600   -838.663   -415.205  -1002.568
      1.614   -846.894   -426.958  -1013.614
      1.629   -859.850   -428.896  -1022.527
      1.643   -867.485   -429.753  -1031.409
      1.657   -878.955   -433.945  -1040.361
      1.671   -886.736   -435.125  -1048.968
      1.686   -895.308   -438.991  -1058.828
      1.700   -904.314   -440.849  -1066.247
      1.714   -914.863   -444.589  -1074.981
      1.729   -923.813   -445.001  -1080.624
      1.743   -934.282   -439.637  -1088.077
      1.757   -944.913   -437.132  -1091.624
      1.771   -947.527   -444.459  -1095.783
      1.786   -952.228   -449.957  -1099.520
      1.800   -956.642   -453.732  -1106.607
      1.814   -963.749   -455.188  -1112.387
      1.829   -972.091   -454.493  -1116.813
      1.843   -971.879   -465.968  -1123.549
      1.857   -981.166   -474.147  -1130.515
      1.871   -989.155   -472.597  -1141.243
      1.886   -997.061   -471.077  -1146.096
      1.900   -998.416   -486.383  -1155.147
      1.914  -1007.934   -488.114  -1166.674
      1.929  -1014.557   -489.065  -1169.078
      1.943  -1016.936   -489.952  -1177.873
      1.957  -1022.112   -505.635  -1186.014
      1.971  -1033.435   -512.554  -1193.693
      1.986  -1038.362   -515.102  -1199.715
      2.000  -1052.672   -518.899  -1213.032
      2.014  -1052.579   -524.853  -1225.118
      2.029  -1058.375   -532.610  -1232.612
      2.043  -1072.727   -547.409  -1244.021
      2.057  -1084.934   -546.312  -1249.642
      2.071  -1099.821   -555.836  -1261.041
      2.086  -1113.242   -554.750  -1264.781
      2.100  -1134.184   -554.757  -1270.311
      2.114  -1148.986   -547.922  -1277.745
      2.129  -1152.240   -554.537  -1288.337
      2.143  -1175.180   -557.779  -1297.662
      2.157  -1182.405   -562.685  -1305.208
      2.171  -1203.930   -564.166  -1313.007
      2.186  -1203.952   -563.590  -1319.710
      2.200  -1216.487   -567.034  -1326.190
      2.214  -1223.391   -568.504  -1335.465
      2.229  -1231.419   -569.234  -1342.424
      2.243  -1235.039   -572.814  -1353.809
      2.257  -1234.629   -575.830  -1364.502
      2.271  -1239.323   -581.712  -1374.346
      2.286  -1244.255   -584.509  -1383.749
      2.300  -1248.340   -589.011  -1396.458
      2.314  -1257.051   -591.066  -1412.663
      2.329  -1272.153   -592.497  -1429.427
      2.343  -1277.095   -593.812  -1438.325
      2.357  -1283.337   -594.512  -1441.564
